project_name,bug_type,file,procedure,line,warning,source,snippet,buggy
bundletool-1.15.1,NULL_DEREFERENCE,src/main/java/com/android/tools/build/bundletool/model/utils/OsPlatform.java,com.android.tools.build.bundletool.model.utils.OsPlatform.getCurrentPlatform():com.android.tools.build.bundletool.model.utils.OsPlatform,28,object `os` last assigned on line 27 could be null and is dereferenced at line 28.,"26: public static OsPlatform getCurrentPlatform() {
 27: String os = System.getProperty(""os.name"");
 28: if (os.startsWith(""Mac OS"")) {","public static OsPlatform getCurrentPlatform() {
    String os = System.getProperty(""os.name"");
    if (os.startsWith(""Mac OS"")) {
      return MACOS;
    } else if (os.startsWith(""Windows"")) {
      return WINDOWS;
    } else if (os.startsWith(""Linux"")) {
      return LINUX;
    } else {
      return OTHER;
    }
}",1
bundletool-1.15.1,NULL_DEREFERENCE,src/main/java/com/android/tools/build/bundletool/model/ZipPath.java,com.android.tools.build.bundletool.model.ZipPath.resolveSibling(com.android.tools.build.bundletool.model.AutoValue_ZipPath):com.android.tools.build.bundletool.model.ZipPath,94,object returned by `getParent()` could be null and is dereferenced at line 94.,https://github.com/google/bundletool/blob/1.15.1/src/main/java/com/android/tools/build/bundletool/model/ZipPath.java,"public ZipPath resolveSibling(ZipPath path) {
    checkNotNull(path, ""Path cannot be null."");
    checkState(!getNames().isEmpty(), ""Root has not sibling."");
    return getParent().resolve(path);
  }",1
bundletool-1.15.1,NULL_DEREFERENCE,src/main/java/com/android/tools/build/bundletool/commands/PrintDeviceTargetingConfigCommand.java,com.android.tools.build.bundletool.commands.PrintDeviceTargetingConfigCommand.execute():void,98,object `config.deviceTierSet_` last assigned on line 96 could be null and is dereferenced by call to `validateDeviceTierConfig(...)` at line 98.,https://github.com/google/bundletool/blob/1.15.1/src/main/java/com/android/tools/build/bundletool/commands/PrintDeviceTargetingConfigCommand.java,"public void execute() throws IOException {
    try (Reader configReader = BufferedIo.reader(getDeviceTargetingConfigurationPath())) {
      DeviceTierConfig.Builder configBuilder = DeviceTierConfig.newBuilder();
      JsonFormat.parser().merge(configReader, configBuilder);
      DeviceTierConfig config = configBuilder.build();

      DeviceTierConfigValidator.validateDeviceTierConfig(config);

      for (DeviceGroup deviceGroup : config.getDeviceGroupsList()) {
        printDeviceGroup(deviceGroup, INDENT);
      }

      printDeviceTierSet(config);
      config.getUserCountrySetsList().forEach(countrySet -> printCountrySet(countrySet, """"));
    }
  }",0
bundletool-1.15.1,NULL_DEREFERENCE,src/main/java/com/android/tools/build/bundletool/model/SizeConfiguration.java,com.android.tools.build.bundletool.model.SizeConfiguration.getScreenDensityName(com.android.bundle.Targeting$ScreenDensityTargeting):java.util.Optional,106,object returned by `screenDensity.getDensityOneofCase()` could be null and is dereferenced at line 106.,https://github.com/google/bundletool/blob/1.15.1/src/main/java/com/android/tools/build/bundletool/model/SizeConfiguration.java,"public static Optional<String> getScreenDensityName(
      ScreenDensityTargeting screenDensityTargeting) {
    if (screenDensityTargeting.getValueList().isEmpty()) {
      return Optional.empty();
    }

    ScreenDensity screenDensity = Iterables.getOnlyElement(screenDensityTargeting.getValueList());
    return Optional.of(
        screenDensity.getDensityOneofCase().equals(DENSITY_ALIAS)
            ? screenDensity.getDensityAlias().name()
            : Integer.toString(screenDensity.getDensityDpi()));
  }",1
bundletool-1.15.1,NULL_DEREFERENCE,src/main/java/com/android/tools/build/bundletool/device/DdmlibAdbServer.java,com.android.tools.build.bundletool.device.DdmlibAdbServer.getDevicesInternal():com.google.common.collect.ImmutableList,114,object `DdmlibAdbServer.adb` last accessed on line 114 could be null and is dereferenced at line 114.,"112: public synchronized ImmutableList<Device> getDevicesInternal() {
 113: checkState(state.equals(State.INITIALIZED), ""Android Debug Bridge is not initialized."");
 114: return Arrays.stream(adb.getDevices()).map(DdmlibDevice::new).collect(toImmutableList());","public synchronized ImmutableList<Device> getDevicesInternal() {
    checkState(state.equals(State.INITIALIZED), ""Android Debug Bridge is not initialized."");
    return Arrays.stream(adb.getDevices()).map(DdmlibDevice::new).collect(toImmutableList());
  }",1
bundletool-1.15.1,NULL_DEREFERENCE,src/main/java/com/android/tools/build/bundletool/device/DdmlibAdbServer.java,com.android.tools.build.bundletool.device.DdmlibAdbServer.hasInitialDeviceList():boolean,120,object `DdmlibAdbServer.adb` last accessed on line 120 could be null and is dereferenced at line 120.,"118: public synchronized boolean hasInitialDeviceList() {
 119: checkState(state.equals(State.INITIALIZED), ""Android Debug Bridge is not initialized."");
 120: return adb.hasInitialDeviceList();","public synchronized boolean hasInitialDeviceList() {
    checkState(state.equals(State.INITIALIZED), ""Android Debug Bridge is not initialized."");
    return adb.hasInitialDeviceList();
  }",1
bundletool-1.15.1,NULL_DEREFERENCE,src/main/java/com/android/tools/build/bundletool/transparency/BundleTransparencyCheckUtils.java,com.android.tools.build.bundletool.transparency.BundleTransparencyCheckUtils.getSource(com.android.bundle.CodeTransparencyOuterClass$CodeRelatedFile):java.lang.String,139,object returned by `codeRelatedFile.getSourceCase()` could be null and is dereferenced at line 139.,"138: private static String getSource(CodeRelatedFile codeRelatedFile) {
 139: switch (codeRelatedFile.getSourceCase()) {
 140: case PATH:
 141: return codeRelatedFile.getPath();
 142: case BUNDLETOOL_REPO_PATH:
 143: return codeRelatedFile.getBundletoolRepoPath();
 144: case SOURCE_NOT_SET:
 145: logger.warning(""CodeRelatedFile has unset `source`: "" + codeRelatedFile);
 146: }
 147: throw InvalidBundleException.builder()","private static String getSource(CodeRelatedFile codeRelatedFile) {
    switch (codeRelatedFile.getSourceCase()) {
      case PATH:
        return codeRelatedFile.getPath();
      case BUNDLETOOL_REPO_PATH:
        return codeRelatedFile.getBundletoolRepoPath();
      case SOURCE_NOT_SET:
        logger.warning(""CodeRelatedFile has unset `source`: "" + codeRelatedFile);
    }
    throw InvalidBundleException.builder()
        .withUserMessage(""Failed to get value of `source`"")
        .build();
  }",1
bundletool-1.15.1,NULL_DEREFERENCE,src/main/java/com/android/tools/build/bundletool/mergers/SameTargetingMerger.java,com.android.tools.build.bundletool.mergers.SameTargetingMerger.mergeSplits(com.google.common.collect.ImmutableCollection):com.android.tools.build.bundletool.model.ModuleSplit,149,object `sparseEncoding` last assigned on line 75 could be null and is dereferenced at line 149.,"63: private ModuleSplit mergeSplits(ImmutableCollection<ModuleSplit> splits) {
 64: ModuleSplit.Builder builder = ModuleSplit.builder();
 65: ImmutableList.Builder<ModuleEntry> entries = ImmutableList.builder();
 66: AndroidManifest mergedManifest = null;
 67: ResourceTable mergedResourceTable = null;
 68: NativeLibraries mergedNativeConfig = null;
 69: Map<String, TargetedAssetsDirectory> mergedAssetsConfig = new HashMap<>();
 70: ApexImages mergedApexConfig = null;
 71: ImmutableList<ApexEmbeddedApkConfig> mergedApexEmbeddedApkConfigs = null;
 72: BundleModuleName mergedModuleName = null;
 73: Boolean mergedIsMasterSplit = null;
 74: VariantTargeting mergedVariantTargeting = null;
 75: Boolean sparseEncoding = null;
 76: 
 77: for (ModuleSplit split : splits) {
 78: mergedManifest =
 79: getSameValueOrNonNull(mergedManifest, split.getAndroidManifest())
 80: .orElseThrow(
 81: () ->
 82: new IllegalStateException(
 83: ""Encountered two distinct manifests while merging.""));
 84: if (split.getResourceTable().isPresent()) {
 85: mergedResourceTable =
 86: getSameValueOrNonNull(mergedResourceTable, split.getResourceTable().get())
 87: .orElseThrow(
 88: () ->
 89: new IllegalStateException(
 90: ""Unsupported case: encountered two distinct resource tables while ""
 91: + ""merging.""));
 92: }
 93: if (split.getNativeConfig().isPresent()) {
 94: mergedNativeConfig =
 95: getSameValueOrNonNull(mergedNativeConfig, split.getNativeConfig().get())
 96: .orElseThrow(
 97: () ->
 98: new IllegalStateException(
 99: ""Encountered two distinct native configs while merging.""));
 100: }
 101: if (split.getApexConfig().isPresent()) {
 102: mergedApexConfig =
 103: getSameValueOrNonNull(mergedApexConfig, split.getApexConfig().get())
 104: .orElseThrow(
 105: () ->
 106: new IllegalStateException(
 107: ""Encountered two distinct apex configs while merging.""));
 108: }
 109: mergedApexEmbeddedApkConfigs =
 110: getSameValueOrNonNull(mergedApexEmbeddedApkConfigs, split.getApexEmbeddedApkConfigs())
 111: .orElseThrow(
 112: () ->
 113: new IllegalStateException(
 114: ""Encountered two distinct apex embedded apk configs while merging.""));
 115: mergedModuleName =
 116: getSameValueOrNonNull(mergedModuleName, split.getModuleName())
 117: .orElseThrow(
 118: () ->
 119: new IllegalStateException(
 120: ""Encountered two distinct module names while merging.""));
 121: mergedIsMasterSplit =
 122: getSameValueOrNonNull(mergedIsMasterSplit, Boolean.valueOf(split.isMasterSplit()))
 123: .orElseThrow(
 124: () ->
 125: new IllegalStateException(
 126: ""Encountered conflicting isMasterSplit flag values while merging.""));
 127: mergedVariantTargeting =
 128: getSameValueOrNonNull(mergedVariantTargeting, split.getVariantTargeting())
 129: .orElseThrow(
 130: () ->
 131: new IllegalStateException(
 132: ""Encountered conflicting variant targeting values while merging.""));
 133: entries.addAll(split.getEntries());
 134: builder.setApkTargeting(split.getApkTargeting());
 135: 
 136: split
 137: .getAssetsConfig()
 138: .ifPresent(
 139: assetsConfig ->
 140: mergeTargetedAssetsDirectories(
 141: mergedAssetsConfig, assetsConfig.getDirectoryList()));
 142: sparseEncoding =
 143: getSameValueOrNonNull(sparseEncoding, split.getSparseEncoding())
 144: .orElseThrow(
 145: () ->
 146: new IllegalStateException(
 147: ""Encountered different sparse encoding values while merging.""));
 148: }
 149: builder.setSparseEncoding(Boolean.valueOf(sparseEncoding));
 150: 
 151: if (mergedManifest != null) {
 152: builder.setAndroidManifest(mergedManifest);
 153: }
 154: if (mergedResourceTable != null) {
 155: builder.setResourceTable(mergedResourceTable);
 156: }
 157: if (mergedNativeConfig != null) {
 158: builder.setNativeConfig(mergedNativeConfig);
 159: }
 160: if (!mergedAssetsConfig.isEmpty()) {
 161: builder.setAssetsConfig(
 162: Assets.newBuilder().addAllDirectory(mergedAssetsConfig.values()).build());
 163: }
 164: if (mergedApexConfig != null) {
 165: builder.setApexConfig(mergedApexConfig);
 166: }
 167: if (mergedApexEmbeddedApkConfigs != null) {
 168: builder.setApexEmbeddedApkConfigs(mergedApexEmbeddedApkConfigs);
 169: }
 170: if (mergedModuleName != null) {
 171: builder.setModuleName(mergedModuleName);
 172: }
 173: if (mergedIsMasterSplit != null) {
 174: builder.setMasterSplit(mergedIsMasterSplit);
 175: }
 176: builder.setVariantTargeting(mergedVariantTargeting);
 177: builder.setEntries(entries.build());
 178: return builder.build();","private ModuleSplit mergeSplits(ImmutableCollection<ModuleSplit> splits) {
    ModuleSplit.Builder builder = ModuleSplit.builder();
    ImmutableList.Builder<ModuleEntry> entries = ImmutableList.builder();
    AndroidManifest mergedManifest = null;
    ResourceTable mergedResourceTable = null;
    NativeLibraries mergedNativeConfig = null;
    Map<String, TargetedAssetsDirectory> mergedAssetsConfig = new HashMap<>();
    ApexImages mergedApexConfig = null;
    ImmutableList<ApexEmbeddedApkConfig> mergedApexEmbeddedApkConfigs = null;
    BundleModuleName mergedModuleName = null;
    Boolean mergedIsMasterSplit = null;
    VariantTargeting mergedVariantTargeting = null;
    Boolean sparseEncoding = null;

    for (ModuleSplit split : splits) {
      mergedManifest =
          getSameValueOrNonNull(mergedManifest, split.getAndroidManifest())
              .orElseThrow(
                  () ->
                      new IllegalStateException(
                          ""Encountered two distinct manifests while merging.""));
      if (split.getResourceTable().isPresent()) {
        mergedResourceTable =
            getSameValueOrNonNull(mergedResourceTable, split.getResourceTable().get())
                .orElseThrow(
                    () ->
                        new IllegalStateException(
                            ""Unsupported case: encountered two distinct resource tables while ""
                                + ""merging.""));
      }
      if (split.getNativeConfig().isPresent()) {
        mergedNativeConfig =
            getSameValueOrNonNull(mergedNativeConfig, split.getNativeConfig().get())
                .orElseThrow(
                    () ->
                        new IllegalStateException(
                            ""Encountered two distinct native configs while merging.""));
      }
      if (split.getApexConfig().isPresent()) {
        mergedApexConfig =
            getSameValueOrNonNull(mergedApexConfig, split.getApexConfig().get())
                .orElseThrow(
                    () ->
                        new IllegalStateException(
                            ""Encountered two distinct apex configs while merging.""));
      }
      mergedApexEmbeddedApkConfigs =
          getSameValueOrNonNull(mergedApexEmbeddedApkConfigs, split.getApexEmbeddedApkConfigs())
              .orElseThrow(
                  () ->
                      new IllegalStateException(
                          ""Encountered two distinct apex embedded apk configs while merging.""));
      mergedModuleName =
          getSameValueOrNonNull(mergedModuleName, split.getModuleName())
              .orElseThrow(
                  () ->
                      new IllegalStateException(
                          ""Encountered two distinct module names while merging.""));
      mergedIsMasterSplit =
          getSameValueOrNonNull(mergedIsMasterSplit, Boolean.valueOf(split.isMasterSplit()))
              .orElseThrow(
                  () ->
                      new IllegalStateException(
                          ""Encountered conflicting isMasterSplit flag values while merging.""));
      mergedVariantTargeting =
          getSameValueOrNonNull(mergedVariantTargeting, split.getVariantTargeting())
              .orElseThrow(
                  () ->
                      new IllegalStateException(
                          ""Encountered conflicting variant targeting values while merging.""));
      entries.addAll(split.getEntries());
      builder.setApkTargeting(split.getApkTargeting());

      split
          .getAssetsConfig()
          .ifPresent(
              assetsConfig ->
                  mergeTargetedAssetsDirectories(
                      mergedAssetsConfig, assetsConfig.getDirectoryList()));
      sparseEncoding =
          getSameValueOrNonNull(sparseEncoding, split.getSparseEncoding())
              .orElseThrow(
                  () ->
                      new IllegalStateException(
                          ""Encountered different sparse encoding values while merging.""));
    }
    builder.setSparseEncoding(Boolean.valueOf(sparseEncoding));

    if (mergedManifest != null) {
      builder.setAndroidManifest(mergedManifest);
    }
    if (mergedResourceTable != null) {
      builder.setResourceTable(mergedResourceTable);
    }
    if (mergedNativeConfig != null) {
      builder.setNativeConfig(mergedNativeConfig);
    }
    if (!mergedAssetsConfig.isEmpty()) {
      builder.setAssetsConfig(
          Assets.newBuilder().addAllDirectory(mergedAssetsConfig.values()).build());
    }
    if (mergedApexConfig != null) {
      builder.setApexConfig(mergedApexConfig);
    }
    if (mergedApexEmbeddedApkConfigs != null) {
      builder.setApexEmbeddedApkConfigs(mergedApexEmbeddedApkConfigs);
    }
    if (mergedModuleName != null) {
      builder.setModuleName(mergedModuleName);
    }
    if (mergedIsMasterSplit != null) {
      builder.setMasterSplit(mergedIsMasterSplit);
    }
    builder.setVariantTargeting(mergedVariantTargeting);
    builder.setEntries(entries.build());
    return builder.build();
  }",0
bundletool-1.15.1,NULL_DEREFERENCE,src/main/java/com/android/tools/build/bundletool/commands/EvaluateDeviceTargetingConfigCommand.java,com.android.tools.build.bundletool.commands.EvaluateDeviceTargetingConfigCommand.execute(java.io.PrintStream):void,200,object `config.deviceTierSet_` last assigned on line 198 could be null and is dereferenced by call to `validateDeviceTierConfig(...)` at line 200.,https://github.com/google/bundletool/blob/1.15.1/src/main/java/com/android/tools/build/bundletool/commands/EvaluateDeviceTargetingConfigCommand.java,"public void execute(PrintStream out) throws IOException, TimeoutException {
    try (Reader configReader = BufferedIo.reader(getDeviceTargetingConfigurationPath())) {
      DeviceTierConfig.Builder configBuilder = DeviceTierConfig.newBuilder();
      JsonFormat.parser().merge(configReader, configBuilder);
      DeviceTierConfig config = configBuilder.build();

      DeviceTierConfigValidator.validateDeviceTierConfig(config);
      if (getCountryCode().isPresent()) {
        DeviceTierConfigValidator.validateCountryCode(getCountryCode().get());
      }",0
bundletool-1.15.1,NULL_DEREFERENCE,src/main/java/com/android/tools/build/bundletool/mergers/ResourceTableMerger.java,"com.android.tools.build.bundletool.mergers.ResourceTableMerger.mergeRepeatedValues(java.util.List,java.util.List,com.android.tools.build.bundletool.mergers.ResourceTableMerger$Lambda$_12_40,com.android.tools.build.bundletool.mergers.ResourceTableMerger$Lambda$_12_46):com.google.common.collect.ImmutableList",250,object `value2` last assigned on line 243 could be null and is dereferenced by call to `add(...)` at line 250.,"227: private <V, I extends Comparable<?>> ImmutableList<V> mergeRepeatedValues(
 228: List<V> values1, List<V> values2, Function<V, I> getIdFn, BiFunction<V, V, V> mergeValuesFn) {
 229: 
 230: ImmutableList.Builder<V> result = ImmutableList.builder();
 231: 
 232: Map<I, V> idToValue1 = Maps.uniqueIndex(values1, getIdFn::apply);
 233: Map<I, V> idToValue2 = Maps.uniqueIndex(values2, getIdFn::apply);
 234: 
 235: // Order the IDs (for better debugging of merged resource tables).
 236: ImmutableList<I> allIds =
 237: Sets.union(idToValue1.keySet(), idToValue2.keySet()).stream()
 238: .sorted()
 239: .collect(toImmutableList());
 240: 
 241: for (I id : allIds) {
 242: V value1 = idToValue1.get(id);
 243: V value2 = idToValue2.get(id);
 244: 
 245: if (value1 != null && value2 != null) {
 246: result.add(mergeValuesFn.apply(value1, value2));
 247: } else if (value1 != null) {
 248: result.add(value1);
 249: } else {
 250: result.add(value2);
 251: }
 252: }
 253: 
 254: return result.build();","private <V, I extends Comparable<?>> ImmutableList<V> mergeRepeatedValues(
      List<V> values1, List<V> values2, Function<V, I> getIdFn, BiFunction<V, V, V> mergeValuesFn) {

    ImmutableList.Builder<V> result = ImmutableList.builder();

    Map<I, V> idToValue1 = Maps.uniqueIndex(values1, getIdFn::apply);
    Map<I, V> idToValue2 = Maps.uniqueIndex(values2, getIdFn::apply);

    // Order the IDs (for better debugging of merged resource tables).
    ImmutableList<I> allIds =
        Sets.union(idToValue1.keySet(), idToValue2.keySet()).stream()
            .sorted()
            .collect(toImmutableList());

    for (I id : allIds) {
      V value1 = idToValue1.get(id);
      V value2 = idToValue2.get(id);

      if (value1 != null && value2 != null) {
        result.add(mergeValuesFn.apply(value1, value2));
      } else if (value1 != null) {
        result.add(value1);
      } else {
        result.add(value2);
      }
    }

    return result.build();
  }",0
